funcname,n,seconds
spin_the_bottle_sort,4,2.23333e-05
spin_the_bottle_sort,20,0.0001
spin_the_bottle_sort,100,0.00799067
spin_the_bottle_sort,500,0.567843
spin_the_bottle_sort,2500,29.5056
