funcname,n,seconds
annealing_sort_2,10,3.43333e-05
annealing_sort_2,100,0.000590333
annealing_sort_2,1000,0.012007
annealing_sort_2,10000,0.233296
annealing_sort_2,100000,3.47254
annealing_sort_2,1000000,48.8864
