funcname,n,seconds
insertion_sort,10,1e-06
insertion_sort,100,8.66667e-06
insertion_sort,1000,0.000123667
insertion_sort,10000,0.001172
insertion_sort,100000,0.016721
insertion_sort,1000000,0.177439
