funcname,n,seconds
spin_the_bottle_sort,4,1.8e-05
spin_the_bottle_sort,20,0.000103667
spin_the_bottle_sort,100,0.00422333
spin_the_bottle_sort,500,0.449929
spin_the_bottle_sort,2500,69.1485
