funcname,n,seconds
bubble_sort,10,5e-06
bubble_sort,100,0.000198333
bubble_sort,1000,0.011572
insertion_sort,10,1.66667e-06
insertion_sort,100,1.8e-05
insertion_sort,1000,0.00154667
spin_the_bottle_sort,10,3.33333e-05
spin_the_bottle_sort,100,0.00401733
spin_the_bottle_sort,1000,3.50875
shell_sort,10,1e-06
shell_sort,100,1.76667e-05
shell_sort,1000,0.000213333
