funcname,n,waste
best_fit_dec,10,0.6558
best_fit_dec,100,2.7664
best_fit_dec,1000,10.5846
best_fit_dec,10000,30.1232
best_fit_dec,100000,76.7776
best_fit_dec,1000000,279.864
